Suburb,Address,Price,Bedrooms,Bathrooms,Parkings,Latitude,Longitude,Distance_to_CBD,Distance_to_station
burwood,56-60 Burwood Road BURWOOD NSW 2134,,,,,-33.8723,151.105026,9353.538667784176,534.1480673798528
burwood,BURWOOD NSW 2134,,26,18,,-33.8772,151.1049,9375.174314306541,94.76339609378343
burwood,10 Boronia Ave BURWOOD NSW 2134,,7,3,5,-33.8765068,151.109512,8945.498231742667,522.5399294421603
burwood,27 Selborne Street BURWOOD NSW 2134,2598000,6,2,2,-33.8732529,151.108032,9074.888688719257,566.6959494795567
burwood,108 wentworth rd BURWOOD NSW 2134,,4,2,2,-33.8778572,151.097351,10076.331154231259,612.7405608799587
burwood,14 Wallace Street BURWOOD NSW 2134,,4,3,2,-33.881012,151.109741,8958.821981082363,698.5737263502135
burwood,4 George Street BURWOOD NSW 2134,,3,1,2,-33.8765678,151.105774,9291.320647759918,180.7524152211426
burwood,2502/2 Mary  Street BURWOOD NSW 2134,,4,4,2,-33.8764038,151.1046,9399.14465068542,94.51104040420628
burwood,31A Angelo Street BURWOOD NSW 2134,1800000,7,2,8,-33.8858566,151.099091,10001.08416826569,1076.0424636270573
burwood,2/66 Stanley Street BURWOOD NSW 2134,1688500,3,2,2,-33.88114,151.098465,9998.860668729503,679.117659116491
burwood,9/66-70 Stanley Street BURWOOD NSW 2134,,3,2,2,-33.8812561,151.098434,10002.858989318294,689.941836314269
burwood,7/66 Stanley Street BURWOOD NSW 2134,1668000,3,2,2,-33.88114,151.098465,9998.860668729503,679.117659116491
burwood,4/66-70 Stanley Street BURWOOD NSW 2134,1660000,3,2,2,-33.8812561,151.098434,10002.858989318294,689.941836314269
burwood,37 Nicholson Street BURWOOD NSW 2134,1600000,3,2,2,-33.88218,151.098175,10036.371046851575,779.4601416174443
burwood,66 stanley st BURWOOD NSW 2134,,3,3,2,-33.88114,151.098465,9998.860668729503,679.117659116491
burwood,11 Archer Street BURWOOD NSW 2134,1580000,3,1,,-33.8710632,151.1071,9164.174541913517,724.3883385252452
burwood,3 Bed/39-47 Belmore Street BURWOOD NSW 2134,,3,2,2,-33.87815,151.100677,9770.807151878478,323.1638213649866
burwood,1-4/5 Hornsey Street BURWOOD NSW 2134,1550000,3,2,1,-33.87731,151.098,10013.423505613602,546.5976009543851
burwood,BURWOOD NSW 2134,,3,2,2,-33.8780479,151.103821,9479.759621346046,113.92721286070555
burwood,6 Stuart Street BURWOOD NSW 2134,1450000,3,1,2,-33.8716164,151.110641,8835.231167124368,865.3460581469554
burwood,3 Bed/7 Deane St  1-3 Marmaduke Street BURWOOD NSW 2134,,3,2,2,-33.87689,151.105591,9309.741176819498,157.32370513082105
burwood,29 George Street BURWOOD NSW 2134,,3,2,1,-33.8761,151.105118,9350.03421216026,152.3716356924685
burwood,3 Bed/2A-8 Burwood  Road BURWOOD NSW 2134,1330000,3,2,1,-33.8696365,151.10553,9314.759424920188,833.0872086158179
burwood,5/66-70 Stanley Street BURWOOD NSW 2134,,2,2,1,-33.8812561,151.098434,10002.858989318294,689.941836314269
burwood,A1207/1-17 Elsie Street BURWOOD NSW 2134,1250000,3,2,2,-33.8753853,151.1026,9580.529239136833,217.7417976344228
burwood,68-72 Railway Parade BURWOOD NSW 2134,1141000,3,2,2,-33.8757553,151.098328,9976.73069040364,534.1612695652416
burwood,503/8 Wynne Avenue BURWOOD NSW 2134,1000000,2,2,1,-33.877964,151.101486,9694.93444456304,246.36464508075372
burwood,5-13 Carilla Street BURWOOD NSW 2134,1100000,2,2,1,-33.8751945,151.099747,9843.907673596466,434.3000851832025
burwood,503/29 George Street BURWOOD NSW 2134,1030000,2,2,1,-33.8761,151.105118,9350.03421216026,152.3716356924685
burwood,503/29 George Street BURWOOD NSW 2134,1030000,2,2,1,-33.8761,151.105118,9350.03421216026,152.3716356924685
burwood,C708/39-47 Belmore  Street BURWOOD NSW 2134,,2,2,1,-33.87815,151.100677,9770.807151878478,323.1638213649866
